Title of Conference,Acronym,Source,Rank
CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS,CORE2023,Multi-conference
International Conference on Computational Science,ICCS,CORE2023,Multiconference
"Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (GRAPP and VISAPP combined from 2008)",VISIGRAPP,CORE2023,Multiconference
ACM Symposium on Applied Computing,SAC,CORE2023,Multiconference
International Workshop on Algebraic and Combinatorial Coding Theory,ACCT,CORE2023,National
Computer Sciences and Information Technologies,CSIT,CORE2023,National
British Computer Society Conference on Human-Computer Interaction,HCI,CORE2023,National
International Work-conference on the Interplay between Natural and Artificial Computation,IWINAC,CORE2023,National
International Symposium 'Problems of Redundancy in Information and Control Systems',Redundancy,CORE2023,National Russia
Semantics - International Conference on Semantic Systems,Semantics,CORE2023,National: Austria
International Conference on Recent Advances in Natural Language Processing,RANLP,CORE2023,National: bulgaria
"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA,CORE2023,National: Bulgaria
Testbeds and Research Infrastructures for the Development of Networks and Communities,TridentCom,CORE2023,National: China
International Conference on Semantics Knowledge and Grid,SKG,CORE2023,National: China
International Symposium on Theoretical Aspects of Software Engineering,TASE,CORE2023,National: China
International Conference on Image and Graphics,ICIG,CORE2023,National: China
International Conference on Machine Learning and Cybernetics,ICMLC,CORE2023,National: China
International Conference on Natural Computation,ICNC,CORE2023,National: China
IEEE International Conference on Information and Automation,IEEE ICIA,CORE2023,National: China
SKLOIS Conference on Information Security and Cryptology,Inscrypt,CORE2023,National: China
International Conference on Intelligent Systems and Knowledge Engineering,ISKE,CORE2023,National: China
International Conference on Computational Intelligence and Security,CIS,CORE2023,National: China
International Frontiers of Algorithmics Workshop,FAW,CORE2023,National: China
Conference on Software in Telecommunications and Computer Networks,SOFTCOM,CORE2023,National: Croatia
Prague Stringology Conference,PSC,CORE2023,National: Czech
"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",WSCG,CORE2023,National: Czecholslovakia
International Conference on Real-Time and Network Systems,RTNS,CORE2023,National: France
"Conference on Innovation in Clouds, Internet and Networks",ICIN,CORE2023,National: France
Mensch & Computer,MuC,CORE2023,National: Germany
European Conference on Pattern Languages of Programs,EuroPLop,CORE2023,National: Germany
International Conference on Advanced Computing and Communications,AdCom,CORE2023,National: India
International Conference on Information Systems Security,ICISS,CORE2023,National: India
Indian Conference on Human-Computer Interaction,IndiaHCI,CORE2023,National: India
International Conference on Cryptology in India,INDOCRYPT,CORE2023,National: India
International Conference on Management of Data,COMAD,CORE2023,National: India
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,CORE2023,National: India
International Conference on High Performance Computing,HiPC,CORE2023,National: India
International Conference on Distributed Computing and Internet Technologies,ICDCIT,CORE2023,National: India
International Conference on Distributed Computing and Networking,ICDCN,CORE2023,National: India
International Conference on VLSI Design,VLSID,CORE2023,National: India
International CSI Computer Conference,CSICC,CORE2023,National: Iran
International Machine Vision and Image Processing Conference,IMVIP,CORE2023,National: ireland
International Conference on Image Analysis and Processing,ICIAP,CORE2023,National: Italy
Conference on Fun with Algorithms,FUN,CORE2023,National: Italy
Conference on Security and Cryptography for Networks,SCN,CORE2023,National: Italy
International Symposium on Functional and Logic Programming,FLOPS,CORE2023,National: Japan
International Workshop on Security,IWSEC,CORE2023,National: Japan
Machine Vision Applications,MVA,CORE2023,National: japan
International Conference on Information Security and Cryptology,ICISC,CORE2023,National: Korea
International Workshop on Information Security Applications,WISA,CORE2023,National: korea
"International Conference on Robotics, Vision, Signal Processing and Power Applications (was ROVPIA)",RoVISP,CORE2023,National: Malaysia
International Conference on Frontiers of Information Technology,FIT,CORE2023,National: Pakistan
International Conference on Dependability of Computer Systems,DEPCoS,CORE2023,National: Poland
International Conference on Artificial Intelligence and Soft Computing,ICAISC,CORE2023,National: Poland
International Conference on Computer Vision and Graphics,ICCVG,CORE2023,National: Poland
Multimedia and Network Information Systems,MISSI,CORE2023,National: Poland
International Conference on Parallel Processing and Applied Mathematics,PPAM,CORE2023,National: Poland
Portuguese Conference on Artificial Intelligence,EPIA,CORE2023,National: Portugal
IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,CORE2023,National: Romania
International Symposium on Applied Computational Intelligence and Informatics,SACI,CORE2023,National: Romania
International Workshop on Soft Computing Applications,SOFA,CORE2023,National: Romania
International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,SYNASC,CORE2023,National: romania
International Computer Science Symposium in Russia,CSR,CORE2023,National: Russia
"International Conference on Analysis of Images, Social Networks and Texts",AIST,CORE2023,National: Russia
Ershov Conference,PSI,CORE2020,National: Russia
International Symposium on Ubiquitous Virtual Reality,ISUVR,CORE2023,National: S. Korea
International Symposium on Intelligent Systems and Informatics,SISY,CORE2023,National: serbia
International Symposium on Applied Machine Intelligence and Informatics,SAMI,CORE2023,National: slovakia
International Work-Conference on Artificial and Natural Neural Networks,IWANN,CORE2023,National: Spain
Computational Intelligence in Security for Information Systems,CISIS,CORE2023,National: Spain
International Conference on Hybrid Artificial Intelligence Systems,HAIS,CORE2023,National: Spain
Practical Applications of Agents and Multiagent Systems,PAAMS,CORE2023,National: Spain
International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning,MIS4TEL,CORE2023,National: Spain
International Conference on Advanced Technologies For Signal & Image Processing,ATSIP,CORE2023,National: Tunisia
Knowledge Domain Visualisation,KDViz,CORE2023,National: UK
SGAI International Conference on Artificial Intelligence,SGAI,CORE2023,National: UK
"ICT in Education, Research, and Industrial Applications",ICTERI,CORE2023,National: Ukraine
International Conference on Information and Knowledge Engineering,IKE,CORE2023,National: USA
IEEE International Conference on Information Reuse and Integration,IRI,CORE2023,National: USA
International Symposium on Artificial Intelligence and Mathematics,ISAIM,CORE2023,National: USA
International Symposium on Visual Computing,ISVC,CORE2023,National: USA
International Conference on Internet Technologies and Applications,ITA,CORE2023,National: USA
Logical Foundations of Computer Science,LFCS,CORE2023,National: USA
Modelling and Optimization: Theory and Applications,MOPTA,CORE2023,National: USA
IEEE Conference on Mass Storage Systems and Technologies,MSST,CORE2023,National: USA
"Symposium on Networked Systems, Design and Implementation",NSDI,CORE2023,National: USA
International Conference on Parallel and Distributed Processing Techniques and Applications,PDPTA,CORE2023,National: USA
Pacific Symposium on Biocomputing,PSB,CORE2023,National: USA
ACM Information Technology Education,SIGITE,CORE2023,National: USA
ACM SIGUCCS Conference on User Services,SIGUCCS,CORE2023,National: USA
Richard Tapia Celebration of Diversity in Computing Conference,Tapia,CORE2023,National: USA
International Visualization in Transportation Symposium,TRB,CORE2023,National: USA
Usable Security and Privacy,USEC,CORE2023,National: USA
Conference on Visualization and Data Analysis,VDA,CORE2023,National: USA
Workshop on Computer Architecture Education,WCAE,CORE2023,National: USA
"World Multi-Conference on Systemics, Cybernetics and Informatics",WMSCI,CORE2023,National: USA
"World Congress in Computer Science, Computer Engineering, and Applied Computing",WORLDCOMP,CORE2023,National: USA
"Asilomar Conference on Signals, Systems and Computing",ACSSC,CORE2023,National: USA
American Medical Informatics Annual Fall Symposium,AMIA,CORE2023,National: USA
International Conference on Computers and their Applications,CATA,CORE2023,National: USA
Information Security Symposium,CERIAS,CORE2023,National: USA
Conference on Information Sciences and Systems,CISS,CORE2023,National: USA
Florida Artificial Intelligence Research Society Conference,FlAIRS,CORE2023,National: USA
Visualization In Science and Education,GRC,CORE2023,National: USA
IEEE Symposium on High-Performance Interconnects,HOTI,CORE2023,National: USA
Workshop on Mobile Computing Systems and Applications,HOTMOBILE,CORE2023,National: USA
ACM Workshop on Hot Topics in Networks,HOTNETS,CORE2023,National: USA
IEEE Industry Applications Society Annual Conference,IAS,CORE2023,National: USA
International Conference on Artificial Intelligence,IC-AI,CORE2023,National: USA
International Workshop on the Web and Databases,WebDB,CORE2020,National: USA
International Conference on High Performance Scientific Computing,HPSC,CORE2023,National: Vietnam
International Conference on Computing and Combinatorics,COCOON,CORE2023,National:China
"International Symposium on Software Engineering: Theories, Tools, and Applications",SETTA,CORE2023,National:China
"Datenbanksysteme für Business, Technologie und Web",BTW,CORE2023,National:Germany
IEEE International Conference on Cloud Computing in Emerging Markets,CCEM,CORE2023,National:India
International Conference on COMmunication Systems & NETworkS,COMSNETS,CORE2023,National:India
IEEE International Conference on Data Science and Engineering,ICDSE,CORE2023,National:India
The ACM International System and Storage Conference,SYSTOR,CORE2023,National:Israel
International Conference on Wireless Networks and Mobile Communications,WINCOM,CORE2023,National:Morocco
International Science Conference on Computer Networks,CN,CORE2023,National:Poland
International Conference Information Systems Architecture and Technology,ISAT,CORE2023,National:Poland
International Conference on Methods and Models in Automation and Robotics,MMAR,CORE2023,National:Poland
IEEE International Scientific Conference on Informatics,Informatics,CORE2023,National:Slovakia
IEEE Conference on Cognitive and Computational Aspects of Situation Management ,CogSIMA,CORE2023,National:USA
International Conference on Practical Applications of Computational Biology & Bioinformatics,PACBB,CORE2023,National(Spain)
International Conference on Distributed Computing and Artificial Intelligence,DCAI,CORE2023,National(Spain)
Conference of the Association for Machine Translation in the Americas,AMTA,CORE2023,National/Regional
European Conference on Modelling Foundations and Applications,ECMFA,CORE2023,NEW
IEEE European Symposium on Security and Privacy,EuroS&P,CORE2023,NEW
International Conference on Technical Debt,TechDebt,CORE2023,NEW
IEEE Conference of the Open Innovations Association FRUCT,FRUCT,CORE2023,Regional
Iberian Conference on Information Systems and Technologies,CISTI,CORE2018,Regional
Malaysia International Conference on Communications ,MICC,CORE2023,Regional
International Baltic Conference on Databases and Information Systems,DB&IS,CORE2023,Regional - Baltic
Nordic Conference on Human-Computer Interaction,NordiCHI,CORE2023,Regional:Scandinavia
International Conference on the Theory of Information Retrieval,ICTIR,CORE2023,Unranked
International Conference on Virtual Rehabilitation,ICVR,CORE2023,Unranked
Intelligent Distributed Computing,IDC,CORE2023,Unranked
 International Conference on Advanced Communications and Computation,INFOCOMP,CORE2023,Unranked
International Teletraffic Congress,ITC,CORE2023,Unranked
International Conference on Mobile Systems and Pervasive Computing,MobiSPC,CORE2023,Unranked
International Conference on Principles of Security and Trust,POST,CORE2023,Unranked
International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,CORE2023,Unranked
The International Conference on Future Networks and Communications,FNC,CORE2023,Unranked
HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,CORE2023,Unranked
International Conference on Information Quality,ICIQ,CORE2018,Unranked
 Information Retrieval Facility Conference,IRFC,CORE2018,Unranked
Conference on Robot Learning,CoRL,CORE2023,Unranked
European Dependable Computing Conference,EDCC,CORE2023,Unranked
Asian Conference on Machine Learning,ACML,CORE2023,Unranked
" International Conference on Ambient Systems, Networks and Technologies",ANT,CORE2023,Unranked
ACM/IEEE Symposium on Edge Computing,SEC,CORE2023,unranked
International Conference on Sustainable Energy Information Technology,SEIT,CORE2023,Unranked
"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,CORE2023,Unranked
Utility and Cloud Computing,UCC,CORE2023,Unranked
CENTERIS - Conference on ENTERprise Information Systems,CENTERIS,CORE2018,Unranked
International Conference on Digital Economy,ICDEc,CORE2018,Unranked
ProjMAN - International Conference on Project MANagement,ProjMAN,CORE2018,Unranked
"Language, Data and Knowledge",LDK,CORE2023,Unranked: NEW
IFIP WG8.1 Working Conference on the Practice of Enterprise Modeling,PoEM,CORE2023,unranked: not primarily CS
1st International Conference on Building Energy and Environment,COBEE,ERA2010,
1st International Conference on Engineering Management,ICEM,ERA2010,
Globalisation and Landscape Architecture: Issues for Education and Practice,,ERA2010,
Identity and Globalisation: Design for the City,,ERA2010,
New Heritage: Beyond Verisimilitude. Conference on Cultural Heritage and New Media. Proceedings of the New Heritage Conference,,ERA2010,
