Year,Citations
2005,10
2006,14
2007,18
2008,9
2009,21
2010,26
2011,37
2012,45
2013,84
2014,71
2015,78
2016,105
2017,100
2018,108
2019,106
2020,142
2021,154
2022,154
2023,103
