Year,Citations
2000,32
2001,25
2002,40
2003,44
2004,73
2005,103
2006,165
2007,177
2008,145
2009,170
2010,190
2011,235
2012,342
2013,299
2014,413
2015,469
2016,453
2017,485
2018,466
2019,539
2020,560
2021,585
2022,638
2023,510
