Year,Citations
2002,18
2003,10
2004,19
2005,53
2006,95
2007,91
2008,113
2009,96
2010,98
2011,125
2012,129
2013,142
2014,148
2015,132
2016,149
2017,153
2018,145
2019,190
2020,203
2021,265
2022,288
2023,200
