Year,Citations
2005,18
2006,26
2007,38
2008,68
2009,53
2010,71
2011,73
2012,65
2013,115
2014,140
2015,191
2016,178
2017,277
2018,351
2019,591
2020,761
2021,1065
2022,1214
2023,987
