Year,Citations
2003,64
2004,91
2005,189
2006,312
2007,380
2008,451
2009,486
2010,492
2011,560
2012,808
2013,1115
2014,1175
2015,1198
2016,1307
2017,1053
2018,1049
2019,874
2020,785
2021,770
2022,684
2023,499
