Year,Citations
2007,103
2008,163
2009,215
2010,321
2011,494
2012,690
2013,901
2014,977
2015,1224
2016,1349
2017,1591
2018,1589
2019,1823
2020,2288
2021,2964
2022,3797
2023,3370
