Year,Citations
2003,30
2004,32
2005,50
2006,99
2007,115
2008,94
2009,124
2010,160
2011,185
2012,189
2013,248
2014,289
2015,324
2016,350
2017,360
2018,325
2019,365
2020,324
2021,351
2022,339
2023,311
