Year,Citations
2003,41
2004,105
2005,147
2006,226
2007,259
2008,208
2009,240
2010,342
2011,373
2012,444
2013,529
2014,510
2015,517
2016,569
2017,629
2018,620
2019,579
2020,454
2021,449
2022,381
2023,234
