Year,Citations
1994,31
1995,46
1996,39
1997,34
1998,54
1999,63
2000,79
2001,66
2002,90
2003,109
2004,157
2005,228
2006,231
2007,248
2008,285
2009,320
2010,300
2011,284
2012,325
2013,319
2014,335
2015,292
2016,355
2017,370
2018,399
2019,371
2020,425
2021,551
2022,541
2023,398
