Year,Citations
2004,4
2005,3
2006,2
2007,4
2008,1
2009,3
2010,2
2011,7
2012,14
2013,12
2014,12
2015,14
2016,7
2017,7
2018,6
2019,11
2020,19
2021,26
2022,37
2023,33
