Year,Citations
2004,45
2005,131
2006,145
2007,214
2008,303
2009,340
2010,420
2011,436
2012,480
2013,538
2014,588
2015,451
2016,527
2017,487
2018,446
2019,445
2020,384
2021,345
2022,407
2023,372
