Year,Citations
2006,98
2007,125
2008,194
2009,227
2010,348
2011,454
2012,537
2013,821
2014,1070
2015,1465
2016,1927
2017,2333
2018,2869
2019,3054
2020,2782
2021,2856
2022,3343
2023,2664
