Year,Citations
1997,6
1998,7
1999,7
2000,0
2001,9
2002,6
2003,7
2004,14
2005,10
2006,8
2007,17
2008,18
2009,27
2010,31
2011,36
2012,49
2013,76
2014,93
2015,83
2016,78
2017,81
2018,84
2019,91
2020,140
2021,164
2022,173
2023,122
