Year,Citations
2005,51
2006,111
2007,152
2008,166
2009,230
2010,248
2011,279
2012,336
2013,446
2014,495
2015,500
2016,510
2017,415
2018,349
2019,310
2020,240
2021,231
2022,201
2023,145
