Year,Citations
2005,23
2006,23
2007,53
2008,67
2009,57
2010,87
2011,152
2012,224
2013,274
2014,277
2015,539
2016,605
2017,385
2018,405
2019,531
2020,609
2021,733
2022,685
2023,527
