Year,Citations
2005,89
2006,158
2007,312
2008,381
2009,533
2010,703
2011,756
2012,857
2013,888
2014,880
2015,1081
2016,1289
2017,1170
2018,1312
2019,1920
2020,2182
2021,3024
2022,3288
2023,2951
