Year,Citations
1998,32
1999,27
2000,32
2001,35
2002,42
2003,32
2004,53
2005,84
2006,107
2007,127
2008,135
2009,143
2010,160
2011,189
2012,223
2013,249
2014,343
2015,482
2016,549
2017,570
2018,564
2019,730
2020,627
2021,746
2022,816
2023,877
