Year,Citations
2001,30
2002,19
2003,25
2004,30
2005,31
2006,59
2007,73
2008,94
2009,108
2010,154
2011,187
2012,207
2013,274
2014,374
2015,414
2016,429
2017,432
2018,505
2019,642
2020,775
2021,1068
2022,1403
2023,1385
