Year,Citations
2001,27
2002,17
2003,30
2004,36
2005,45
2006,70
2007,117
2008,121
2009,112
2010,139
2011,147
2012,218
2013,240
2014,261
2015,255
2016,221
2017,184
2018,247
2019,271
2020,287
2021,328
2022,436
2023,414
