Year,Citations
1998,22
1999,34
2000,45
2001,67
2002,51
2003,80
2004,112
2005,126
2006,118
2007,92
2008,88
2009,124
2010,131
2011,135
2012,137
2013,135
2014,124
2015,125
2016,107
2017,117
2018,147
2019,242
2020,384
2021,711
2022,1105
2023,987
