Year,Citations
1998,23
1999,34
2000,60
2001,56
2002,91
2003,165
2004,150
2005,190
2006,172
2007,150
2008,143
2009,156
2010,192
2011,166
2012,156
2013,204
2014,183
2015,224
2016,208
2017,253
2018,201
2019,242
2020,350
2021,501
2022,612
2023,604
