Year,Citations
2006,52
2007,98
2008,116
2009,135
2010,159
2011,210
2012,295
2013,379
2014,449
2015,803
2016,961
2017,822
2018,923
2019,1175
2020,1525
2021,2366
2022,3701
2023,3627
