Year,Citations
2004,52
2005,114
2006,174
2007,252
2008,310
2009,345
2010,385
2011,357
2012,416
2013,476
2014,590
2015,653
2016,669
2017,601
2018,721
2019,689
2020,648
2021,622
2022,770
2023,670
