Year,Citations
2005,21
2006,60
2007,53
2008,94
2009,112
2010,140
2011,176
2012,250
2013,270
2014,352
2015,444
2016,378
2017,370
2018,379
2019,383
2020,401
2021,388
2022,486
2023,453
