Year,Citations
2005,43
2006,57
2007,101
2008,109
2009,159
2010,332
2011,358
2012,487
2013,471
2014,540
2015,665
2016,777
2017,770
2018,845
2019,972
2020,1174
2021,1150
2022,1422
2023,1189
