Year,Citations
2004,5
2005,13
2006,19
2007,18
2008,23
2009,24
2010,26
2011,29
2012,26
2013,36
2014,62
2015,45
2016,70
2017,68
2018,109
2019,137
2020,201
2021,280
2022,283
2023,268
