Year,Citations
2000,10
2001,16
2002,13
2003,27
2004,25
2005,55
2006,60
2007,57
2008,90
2009,109
2010,122
2011,155
2012,199
2013,170
2014,248
2015,229
2016,207
2017,180
2018,200
2019,236
2020,277
2021,249
2022,276
2023,221
