Year,Citations
1996,9
1997,3
1998,11
1999,13
2000,37
2001,25
2002,31
2003,35
2004,36
2005,30
2006,41
2007,44
2008,66
2009,74
2010,87
2011,100
2012,115
2013,87
2014,105
2015,116
2016,97
2017,85
2018,90
2019,97
2020,110
2021,66
2022,94
2023,55
