Year,Citations
2005,53
2006,95
2007,98
2008,137
2009,188
2010,226
2011,294
2012,475
2013,602
2014,846
2015,1226
2016,1385
2017,1560
2018,1630
2019,1678
2020,1872
2021,1778
2022,1737
2023,1554
