Year,Citations
1999,29
2000,17
2001,41
2002,55
2003,111
2004,99
2005,123
2006,183
2007,233
2008,243
2009,265
2010,311
2011,316
2012,339
2013,352
2014,353
2015,324
2016,233
2017,237
2018,407
2019,610
2020,719
2021,783
2022,775
2023,571
