Year,Citations
2005,69
2006,128
2007,122
2008,152
2009,231
2010,280
2011,362
2012,394
2013,420
2014,597
2015,801
2016,944
2017,1034
2018,1242
2019,1533
2020,1904
2021,2191
2022,2473
2023,2153
