,Title,Year,Authors,Journal,Journal Acronym
54,A Blockchain-Enabled Quantitative Approach to Trust and Reputation Management with Sparse Evidence.,2021,"Leonid Zeynalvand, Tie Luo, Ewa Andrejczuk, Dusit Niyato, Sin G. Teo, Jie Zhang", AAMAS 2021: 1707-1708,atal
55,ATNN: Adversarial Two-Tower Neural Network for New Item's Popularity Prediction in E-commerce.,2021,"Shen Xin, Zhao Li, Pengcheng Zou, Cheng Long, Jie Zhang, Jiajun Bu, Jingren Zhou", ICDE 2021: 2499-2510,icde
56,NeuroLKH: Combining Deep Learning Model with Lin-Kernighan-Helsgaun Heuristic for Solving the Traveling Salesman Problem.,2021,"Liang Xin, Wen Song, Zhiguang Cao, Jie Zhang", NeurIPS 2021: 7472-7483,nips
57,Learning Large Neighborhood Search Policy for Integer Programming.,2021,"Yaoxin Wu, Wen Song, Zhiguang Cao, Jie Zhang", NeurIPS 2021: 30075-30087,nips
58,Learning an Adaptive Meta Model-Generator for Incrementally Updating Recommender Systems.,2021,"Danni Peng, Sinno Jialin Pan, Jie Zhang, Anxiang Zeng", RecSys 2021: 411-421,recsys
59,Adaptive Holding for Online Bottleneck Matching with Delays.,2021,"Kaixin Wang, Cheng Long, Yongxin Tong, Jie Zhang, Yi Xu", SDM 2021: 235-243,sdm
60,Exploiting Human Trust to Improve Recommender Systems.,2021,Jie Zhang, UMAP  2021: 181,um
61,"Proceedings of the 22nd International Workshop on Trust in Agent Societies (TRUST 2021) Co-located with the 20th International Conferences on Autonomous Agents and Multiagent Systems (AAMAS 2021), London, UK, May 3-7, 2021.",2021,"Dongxia Wang, Rino Falcone, Jie Zhang",org 2021 ,atal
62,SelfCF: A Simple Framework for Self-supervised Collaborative Filtering.,2021,"Xin Zhou, Aixin Sun, Yong Liu, Jie Zhang, Chunyan Miao",03019 ,corr
63,ACDC: Online Unsupervised Cross-Domain Adaptation.,2021,"Marcus de Carvalho, Mahardhika Pratama, Jie Zhang, Edward Kien Yee Yapp",01326 ,corr
64,Deep Reinforcement Learning for Solving the Heterogeneous Capacitated Vehicle Routing Problem.,2021,"Jingwen Li, Yining Ma, Ruize Gao, Zhiguang Cao, Andrew Lim, Wen Song, Jie Zhang",02629 ,corr
65,Heterogeneous Attentions for Solving Pickup and Delivery Problem via Deep Reinforcement Learning.,2021,"Jingwen Li, Liang Xin, Zhiguang Cao, Andrew Lim, Wen Song, Jie Zhang",02634 ,corr
66,NeuroLKH: Combining Deep Learning Model with Lin-Kernighan-Helsgaun Heuristic for Solving the Traveling Salesman Problem.,2021,"Liang Xin, Wen Song, Zhiguang Cao, Jie Zhang",07983 ,corr
67,Learning Large Neighborhood Search Policy for Integer Programming.,2021,"Yaoxin Wu, Wen Song, Zhiguang Cao, Jie Zhang",03466 ,corr
68,Learning an Adaptive Meta Model-Generator for Incrementally Updating Recommender Systems.,2021,"Danni Peng, Sinno Jialin Pan, Jie Zhang, Anxiang Zeng",04282 ,corr
69,"A 2020 perspective on ""A generalized stereotype learning approach and its instantiation in trust modeling"".",2020,"Hui Fang, Jie Zhang, Murat Sensoy", 40: 100955 ,ecra
70,Modeling hierarchical category transition for next POI recommendation with uncertain check-ins.,2020,"Lu Zhang, Zhu Sun, Jie Zhang, Horst Kloeden, Felix Klanner", 515: 169-190 ,isci
71,Cost-sensitive deep forest for price prediction.,2020,"Chao Ma, Zhenbing Liu, Zhiguang Cao, Wen Song, Jie Zhang, Weiliang Zeng", 107: 107499 ,pr
72,Learning Network Representations With Different Order Structural Information.,2020,"Qi-dong Liu, Xin Zhou, Cheng Long, Jie Zhang, Mingliang Xu", 7: 907-914 ,tcss
73,Information Theoretical Analysis of Unfair Rating Attacks Under Subjectivity.,2020,"Dongxia Wang, Tim Muller, Jie Zhang, Yang Liu", 15: 816-828 ,tifs
74,An Attentional Recurrent Neural Network for Personalized Next Location Recommendation.,2020,"Qing Guo, Zhu Sun, Jie Zhang, Yin-Leng Theng", AAAI 2020: 83-90,aaai
75,A Skip-Connected Evolving Recurrent Neural Network for Data Stream Classification under Label Latency Scenario.,2020,"Monidipa Das, Mahardhika Pratama, Jie Zhang, Yew-Soon Ong", AAAI 2020: 3717-3724,aaai
76,AATEAM: Achieving the Ad Hoc Teamwork by Employing the Attention Mechanism.,2020,"Shuo Chen, Ewa Andrejczuk, Zhiguang Cao, Jie Zhang", AAAI 2020: 7095-7102,aaai
77,COBRA: Context-Aware Bernoulli Neural Networks for Reputation Assessment.,2020,"Leonid Zeynalvand, Tie Luo, Jie Zhang", AAAI 2020: 7317-7324,aaai
78,Multi-Channel Sellers Traffic Allocation in Large-scale E-commerce Promotion.,2020,"Shen Xin, Yizhou Ye, Martin Ester, Cheng Long, Jie Zhang, Zhao Li, Kaiying Yuan, Yanghua Li", CIKM 2020: 2845-2852,cikm
79,Efficient Community Search over Large Directed Graph: An Augmented Index-based Approach.,2020,"Yankai Chen, Jie Zhang, Yixiang Fang, Xin Cao, Irwin King", IJCAI 2020: 3544-3550,ijcai
80,An Interactive Multi-Task Learning Framework for Next POI Recommendation with Uncertain Check-ins.,2020,"Lu Zhang, Zhu Sun, Jie Zhang, Yu Lei, Chen Li, Ziqing Wu, Horst Kloeden, Felix Klanner", IJCAI 2020: 3551-3557,ijcai
81,Learning to Dispatch for Job Shop Scheduling via Deep Reinforcement Learning.,2020,"Cong Zhang, Wen Song, Zhiguang Cao, Jie Zhang, Puay Siew Tan, Chi Xu", NeurIPS 2020,nips
82,Are We Evaluating Rigorously? Benchmarking Recommendation for Reproducible Evaluation and Fair Comparison.,2020,"Zhu Sun, Di Yu, Hui Fang, Jie Yang, Xinghua Qu, Jie Zhang, Cong Geng", RecSys 2020: 23-32,recsys
83,A Re-visit of the Popularity Baseline in Recommender Systems.,2020,"Yitong Ji, Aixin Sun, Jie Zhang, Chenliang Li", SIGIR 2020: 1749-1752,sigir
84,A Re-visit of the Popularity Baseline in Recommender Systems.,2020,"Yitong Ji, Aixin Sun, Jie Zhang, Chenliang Li",13829 ,corr
85,On Offline Evaluation of Recommender Systems.,2020,"Yitong Ji, Aixin Sun, Jie Zhang, Chenliang Li",11060 ,corr
86,Learning to Dispatch for Job Shop Scheduling via Deep Reinforcement Learning.,2020,"Cong Zhang, Wen Song, Zhiguang Cao, Jie Zhang, Puay Siew Tan, Chi Xu",12367 ,corr
87,Delayed Feedback Modeling for the Entire Space Conversion Rate Prediction.,2020,"Yanshi Wang, Jie Zhang, Qing Da, Anxiang Zeng",11826 ,corr
88,Multi-Decoder Attention Model with Embedding Glimpse for Solving Vehicle Routing Problems.,2020,"Liang Xin, Wen Song, Zhiguang Cao, Jie Zhang",10638 ,corr
