,Title,Year,Authors,Journal,Journal Acronym
0,Region-adaptive Concept Aggregation for Few-shot Visual Recognition.,2023,"Mengya Han, Yibing Zhan, Baosheng Yu, Yong Luo, Han Hu, Bo Du, Yonggang Wen, Dacheng Tao", 20: 554-568 ,ijautcomp
1,Automatic Transformation Search Against Deep Leakage From Gradients.,2023,"Wei Gao, Xu Zhang, Shangwei Guo, Tianwei Zhang, Tao Xiang, Han Qiu, Yonggang Wen, Yang Liu", 45: 10650-10668 ,pami
2,Learning Relation Prototype From Unlabeled Texts for Long-Tail Relation Extraction.,2023,"Yixin Cao, Jun Kuang, Ming Gao, Aoying Zhou, Yonggang Wen, Tat-Seng Chua", 35: 1761-1774 ,tkde
3,"A Review on Generative Adversarial Networks: Algorithms, Theory, and Applications.",2023,"Jie Gui, Zhenan Sun, Yonggang Wen, Dacheng Tao, Jieping Ye", 35: 3313-3332 ,tkde
4,Editorial.,2023,Yonggang Wen, 25: 1060 ,tmm
5,Two-Stream Prototype Learning Network for Few-Shot Face Recognition Under Occlusions.,2023,"Xingyu Yang, Mengya Han, Yong Luo, Han Hu, Yonggang Wen", 25: 1555-1563 ,tmm
6,Optimizing Performance of Federated Person Re-identification: Benchmarking and Analysis.,2023,"Weiming Zhuang, Xin Gan, Yonggang Wen, Shuai Zhang", 19: 38:1-38:18 ,tomccap
7,Optimizing Data Center Energy Efficiency via Event-Driven Deep Reinforcement Learning.,2023,"Yongyi Ran, Xin Zhou, Han Hu, Yonggang Wen", 16: 1296-1309 ,tsc
8,Optimizing Energy Efficiency for Data Center via Parameterized Deep Reinforcement Learning.,2023,"Yongyi Ran, Han Hu, Yonggang Wen, Xin Zhou", 16: 1310-1323 ,tsc
9,FedABC: Targeting Fair Competition in Personalized Federated Learning.,2023,"Dui Wang, Li Shen, Yong Luo, Han Hu, Kehua Su, Yonggang Wen, Dacheng Tao", AAAI 2023: 10095-10103,aaai
10,Discriminative Reasoning with Sparse Event Representation for Document-level Event-Event Relation Extraction.,2023,"Changsen Yuan, Heyan Huang, Yixin Cao, Yonggang Wen", ACL  2023: 16222-16234,acl
11,"Lucid: A Non-intrusive, Scalable and Interpretable Scheduler for Deep Learning Training Jobs.",2023,"Qinghao Hu, Meng Zhang, Peng Sun, Yonggang Wen, Tianwei Zhang", ASPLOS  2023: 457-472,asplos
12,Phyllis: Physics-Informed Lifelong Reinforcement Learning for Data Center Cooling Control.,2023,"Ruihang Wang, Zhiwei Cao, Xin Zhou, Yonggang Wen, Rui Tan", e-Energy 2023: 114-126,eenergy
13,Toward Model-Assisted Safe Reinforcement Learning for Data Center Cooling Control: A Lyapunov-based Approach.,2023,"Zhiwei Cao, Ruihang Wang, Xin Zhou, Yonggang Wen", e-Energy 2023: 333-346,eenergy
14,Hydro: Surrogate-Based Hyperparameter Tuning Service in Datacenters.,2023,"Qinghao Hu, Zhisheng Ye, Meng Zhang, Qiaoling Chen, Peng Sun, Yonggang Wen, Tianwei Zhang", OSDI 2023: 757-777,osdi
15,FedABC: Targeting Fair Competition in Personalized Federated Learning.,2023,"Dui Wang, Li Shen, Yong Luo, Han Hu, Kehua Su, Yonggang Wen, Dacheng Tao",07450 ,corr
16,Boosting Distributed Full-graph GNN Training with Asynchronous One-bit Communication.,2023,"Meng Zhang, Qinghao Hu, Peng Sun, Yonggang Wen, Tianwei Zhang",01277 ,corr
17,FHA-Kitchens: A Novel Dataset for Fine-Grained Hand Action Recognition in Kitchen Scenes.,2023,"Ting Zhe, Yongqian Li, Jing Zhang, Yong Luo, Han Hu, Bo Du, Yonggang Wen, Dacheng Tao",10858 ,corr
18,MAS: Towards Resource-Efficient Federated Multiple-Task Learning.,2023,"Weiming Zhuang, Yonggang Wen, Lingjuan Lyu, Shuai Zhang",11285 ,corr
19,Rethinking the Localization in Weakly Supervised Object Localization.,2023,"Rui Xu, Yong Luo, Han Hu, Bo Du, Jialie Shen, Yonggang Wen",06161 ,corr
20,PartSeg: Few-shot Part Segmentation via Part-aware Prompt Learning.,2023,"Mengya Han, Heliang Zheng, Chaoyue Wang, Yong Luo, Han Hu, Jing Zhang, Yonggang Wen",12757 ,corr
21,Toward a Systematic Survey for Carbon Neutral Data Centers.,2022,"Zhiwei Cao, Xin Zhou, Han Hu, Zhi Wang, Yonggang Wen", Tutorials 24: 895-936 ,comsur
22,FogChain: A Blockchain-Based Peer-to-Peer Solar Power Trading System Powered by Fog AI.,2022,"Guanyu Gao, Chengru Song, T. G. Thusitha Asela Bandara, Meng Shen, Fan Yang, Wolf Posdorfer, Dacheng Tao, Yonggang Wen", 9: 5200-5215 ,iotj
23,EasyFL: A Low-Code Federated Learning Platform for Dummies.,2022,"Weiming Zhuang, Xin Gan, Yonggang Wen, Shuai Zhang", 9: 13740-13754 ,iotj
24,GradientFlow: Optimizing Network Performance for Large-Scale Distributed DNN Training.,2022,"Peng Sun, Yonggang Wen, Ruobing Han, Wansen Feng, Shengen Yan", Big Data 8: 495-507 ,tbd
25,CycleResume: A Cycle Learning Framework with Hybrid Attention for Fine-Grained Talent-Job Fit.,2022,"Zichen Zhang, Yong Luo, Yonggang Wen, Xinwen Zhang", CICAI  2022: 260-271,cicai
26,Titan: a scheduler for foundation model fine-tuning workloads.,2022,"Wei Gao, Peng Sun, Yonggang Wen, Tianwei Zhang", SoCC 2022: 348-354,cloud
27,Toward Physics-Guided Safe Deep Reinforcement Learning for Green Data Center Cooling Control.,2022,"Ruihang Wang, Xinyi Zhang, Xin Zhou, Yonggang Wen, Rui Tan", ICCPS 2022: 159-169,iccps
28,Divergence-aware Federated Self-Supervised Learning.,2022,"Weiming Zhuang, Yonggang Wen, Shuai Zhang", ICLR 2022,iclr
29,Federated Unsupervised Domain Adaptation for Face Recognition.,2022,"Weiming Zhuang, Xin Gan, Xuesen Zhang, Yonggang Wen, Shuai Zhang, Shuai Yi", ICME 2022: 1-6,icmcs
30,Optimizing Federated Unsupervised Person Re-identification via Camera-aware Clustering.,2022,"Jiabei Liu, Weiming Zhuang, Yonggang Wen, Jun Huang, Wei Lin", MMSP 2022: 1-6,mmsp
31,Nonlinear Multi-Model Reuse.,2022,"Yong Luo, Ling-Yu Duan, Yan Bai, Tongliang Liu, Yihang Lou, Yonggang Wen", MMSP 2022: 1-6,mmsp
32,Reducio: model reduction for data center predictive digital twins via physics-guided machine learning.,2022,"Zhiwei Cao, Ruihang Wang, Xin Zhou, Yonggang Wen", BuildSys@SenSys 2022: 1-10,sensys
33,Optimizing Data Centre Energy Efficiency via Event Driven Deep Reinforcement Learning.,2022,"Yongyi Ran, Xin Zhou, Han Hu, Yonggang Wen", SERVICES 2022: 20,services
34,Primo: Practical Learning-Augmented Systems with Interpretable Models.,2022,"Qinghao Hu, Harsha Nori, Peng Sun, Yonggang Wen, Tianwei Zhang", USENIX Annual Technical Conference 2022: 519-538,usenix
35,Federated Unsupervised Domain Adaptation for Face Recognition.,2022,"Weiming Zhuang, Xin Gan, Yonggang Wen, Xuesen Zhang, Shuai Zhang, Shuai Yi",04382 ,corr
36,Divergence-aware Federated Self-Supervised Learning.,2022,"Weiming Zhuang, Yonggang Wen, Shuai Zhang",04385 ,corr
37,"Deep Learning Workload Scheduling in GPU Datacenters: Taxonomy, Challenges and Vision.",2022,"Wei Gao, Qinghao Hu, Zhisheng Ye, Peng Sun, Xiaolin Wang, Yingwei Luo, Tianwei Zhang, Yonggang Wen",11913 ,corr
38,Optimizing Performance of Federated Person Re-identification: Benchmarking and Analysis.,2022,"Weiming Zhuang, Xin Gan, Yonggang Wen, Shuai Zhang",12144 ,corr
39,Smart Multi-tenant Federated Learning.,2022,"Weiming Zhuang, Yonggang Wen, Shuai Zhang",04202 ,corr
40,Not All Instances Contribute Equally: Instance-adaptive Class Representation Learning for Few-Shot Visual Recognition.,2022,"Mengya Han, Yibing Zhan, Yong Luo, Bo Du, Han Hu, Yonggang Wen, Dacheng Tao",03034 ,corr
41,Machine Learning for a Sustainable Energy Future.,2022,"Zhenpeng Yao, Yanwei Lum, Andrew Johnston, Luis Martin Mejia-Mendoza, Xin Zhou, Yonggang Wen, Alán Aspuru-Guzik, Edward H. Sargent, Zhi Wei Seh",10391 ,corr
42,Toward Efficient Language Model Pretraining and Downstream Adaptation via Self-Evolution: A Case Study on SuperGLUE.,2022,"Qihuang Zhong, Liang Ding, Yibing Zhan, Yu Qiao, Yonggang Wen, Li Shen, Juhua Liu, Baosheng Yu, Bo Du, Yixin Chen, Xinbo Gao, Chunyan Miao, Xiaoou Tang, Dacheng Tao",01853 ,corr
43,Video transcoding for adaptive bitrate streaming over edge-cloud continuum.,2021,"Guanyu Gao, Yonggang Wen", Networks 7: 598-604 ,dcan
44,Demystifying Thermal Comfort in Smart Buildings: An Interpretable Machine Learning Approach.,2021,"Wei Zhang, Yonggang Wen, King-Jet Tseng, Guangyu Jin", 8: 8021-8031 ,iotj
