,Title,Year,Authors,Journal,Journal Acronym
0,extendGAN+: Transferable Data Augmentation Framework Using WGAN-GP for Data-Driven Indoor Localisation Model.,2023,"Seanglidet Yean, Wayne Goh, Bu-Sung Lee, Hong Lye Oh", Sensors 23: 4402 ,sensors
1,SingTRACeX: Navigation System to Address Wandering Behavior for Elders and Their Caregivers.,2022,"Wei Jie Teo, Seanglidet Yean, Bo Zhi Lim, Hong Lye Oh, Bu-Sung Lee", Informatics 41: 646-664 ,cai
2,GAN+: Data Augmentation Method Using Generative Adversarial Networks and Dirichlet for Indoor Localisation.,2021,"Seanglidet Yean, Palak Somani, Bu-Sung Lee, Hong Lye Oh", IPIN-WiP 2021,ipin
3,Feature Engineering for Grid-based Multi-Floor Indoor Localisation using Machine Learning.,2020,"Senglidet Yean, Bu-Sung Lee, Hong Lye Oh", IDSTA 2020: 142-148,idsta
