,Title,Year,Authors,Journal,Journal Acronym
59,Global Context Enhanced Graph Neural Networks for Session-based Recommendation.,2020,"Ziyang Wang, Wei Wei, Gao Cong, Xiao-Li Li, Xianling Mao, Minghui Qiu", SIGIR 2020: 169-178,sigir
60,HME: A Hyperbolic Metric Embedding Approach for Next-POI Recommendation.,2020,"Shanshan Feng, Lucas Vinh Tran, Gao Cong, Lisi Chen, Jing Li, Fan Li", SIGIR 2020: 1429-1438,sigir
61,Densely Connected User Community and Location Cluster Search in Location-Based Social Networks.,2020,"Junghoon Kim, Tao Guo, Kaiyu Feng, Gao Cong, Arijit Khan, Farhana Murtaza Choudhury", SIGMOD Conference 2020: 2199-2209,sigmod
62,STAR: A Distributed Stream Warehouse System for Spatial Data.,2020,"Zhida Chen, Gao Cong, Walid G. Aref", SIGMOD Conference 2020: 2761-2764,sigmod
63,Context-aware Deep Model for Joint Mobility and Time Prediction.,2020,"Yile Chen, Cheng Long, Gao Cong, Chenliang Li", WSDM 2020: 106-114,wsdm
64,HyperML: A Boosting Metric Learning Approach in Hyperbolic Space for Recommender Systems.,2020,"Lucas Vinh Tran, Yi Tay, Shuai Zhang, Gao Cong, Xiaoli Li", WSDM 2020: 609-617,wsdm
65,Efficient and Effective Similar Subtrajectory Search with Deep Reinforcement Learning.,2020,"Zheng Wang, Cheng Long, Gao Cong, Yiding Liu",02542 ,corr
66,"A Survey on Trajectory Data Management, Analytics, and Learning.",2020,"Sheng Wang, Zhifeng Bao, J. Shane Culpepper, Gao Cong",11547 ,corr
67,Exploring Global Information for Session-based Recommendation.,2020,"Ziyang Wang, Wei Wei, Gao Cong, Xiao-Li Li, Xian-Ling Mao, Minghui Qiu, Shanshan Feng",10173 ,corr
68,Exploiting Repeated Behavior Pattern and Long-term Item dependency for Session-based Recommendation.,2020,"Ziyang Wang, Wei Wei, Gao Cong, Xian-Ling Mao, Xiao-Li Li, Shanshan Feng",05422 ,corr
