,Title,Year,Authors,Journal,Journal Acronym
0,A Survey of Algorithmic and Hardware Optimization Techniques for Vision Convolutional Neural Networks on FPGAs.,2021,"Arish Sateesan, Sharad Sinha, Smitha K. G., A. P. Vinod", 53: 2331-2377 ,npl
1,Use of Mobile EEG in Decoding Hand Movement Speed and Position.,2021,"Neethu Robinson, Tan Wei Jie Chester, Smitha K. G.", 51: 120-129 ,thms
2,DASH: Design Automation for Synthesis and Hardware Generation for CNN.,2020,"Arish Sateesan, Sharad Sinha, Smitha K. G.", FPT 2020: 72-75,icfpt
