,Title,Year,Authors,Journal,Journal Acronym
0,Voyaging: Crowdsource Application for Safe Travelling Experience.,2023,"Richie Ang, Owen Noel Newton Fernando", HCI  2023: 3-9,hci
1,iWIll: A Real-Time Mobile Application to Expedite First-Aid and Reduce Casualties.,2023,"Palaniselvam Shyam Sundar, Owen Noel Newton Fernando", HCI  2023: 156-162,hci
2,Interactive Course Materials in Higher Institute Learning.,2023,"Jabez Ng Yong Xin, Chia-Wen Cheng, Trinh Tuan Dung, Owen Noel Newton Fernando", HCI  2023: 325-333,hci
3,Animal Hunt: AI-Based Animal Sound Recognition Application.,2023,"Yi-Heng Lin, Owen Noel Newton Fernando", HCI  2023: 465-474,hci
4,PoseBuddy : Pose Estimation Workout Mobile Application.,2022,"Zixin Cai, Owen Noel Newton Fernando, Jia Ying Ong", CW 2022: 151-154,cw
5,Foodscover: Eliminating food waste in the retail sector through technology.,2021,"Wan Ting Wong, Owen Noel Newton Fernando, Chitra Panchapakesan, Jessica Kee Si Jia", CW 2021: 85-92,cw
